AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
SD7037 Airfoil, Re=variable, Smooth roughness, Fourth column is moment coefficient.
"...Mid Reynolds Number Airfoil Data...", UIUC-Thompson, Viterna used with aspect ratio=6.75, no 3D correction used
  5            Number of airfoil tables in this file
  0.609        Table ID parameter (Reynolds number in millions).  For efficiency, make very large if only one table.  11.00     Stall angle (deg)				
  -0.3689   Zero Cn angle of attack (deg)				
   6.9838   Cn slope for zero lift (dimensionless)				
   1.3857   Cn extrapolated to value at positive stall angle of attack				
  -0.8000   Cn at stall value for negative angle of attack				
   2.00     Angle of attack for minimum CD (deg)				
   0.0116   Minimum CD value				
-180.00    0.000   0.0069   0.0000				
-170.00    0.684   0.0457   0.4000				
-160.00    0.535   0.1574   0.1929				
-150.00    0.533   0.3285   0.1946				
-140.00    0.531   0.5383   0.2198				
-130.00    0.496   0.7615   0.2521				
-120.00    0.418   0.9710   0.2838				
-110.00    0.302   1.1415   0.3090				
-100.00    0.157   1.2523   0.3230				
 -90.00    0.000   1.2900   0.3225				
 -80.00   -0.157   1.2523   0.3073				
 -70.00   -0.302   1.1415   0.2789				
 -60.00   -0.418   0.9710   0.2412				
 -50.00   -0.496   0.7615   0.1989				
 -40.00   -0.531   0.5383   0.1567				
 -30.00   -0.533   0.3285   0.1184				
 -20.00   -0.535   0.1574   0.0854				
 -10.00   -0.684   0.0457   0.0346				
  -4.00   -0.060   0.0210   0.0000				
  -3.00    0.033   0.0184   0.0000				
  -2.00    0.130   0.0164   0.0000				
  -1.00    0.268   0.0191   0.0000				
   0.00    0.421   0.0209   0.0000				
   1.00    0.582   0.0221   0.0000
   2.00    0.688   0.0208   0.0000
   3.00    0.783   0.0196   0.0000
   4.00    0.874   0.0187   0.0000
   5.00    0.956   0.0203   0.0000
   6.00    1.029   0.0224   0.0000
   7.00    1.083   0.0253   0.0000
   8.00    1.133   0.0319   0.0000
  10.00    0.977   0.0457  -0.0492
  20.00    0.764   0.1574  -0.1185
  30.00    0.762   0.3285  -0.1559
  40.00    0.759   0.5383  -0.1930
  50.00    0.708   0.7615  -0.2290
  60.00    0.598   0.9710  -0.2618
  70.00    0.431   1.1415  -0.2894
  80.00    0.225   1.2523  -0.3102
  90.00    0.000   1.2900  -0.3225
 100.00   -0.157   1.2523  -0.3230
 110.00   -0.302   1.1415  -0.3090
 120.00   -0.418   0.9710  -0.2838
 130.00   -0.496   0.7615  -0.2521
 140.00   -0.531   0.5383  -0.2198
 150.00   -0.533   0.3285  -0.1946
 
 0.605        Table ID parameter (Reynolds number in millions).  
  11.00     Stall angle (deg)				
  -0.3689   Zero Cn angle of attack (deg)				
   6.9838   Cn slope for zero lift (dimensionless)				
   1.3857   Cn extrapolated to value at positive stall angle of attack				
  -0.8000   Cn at stall value for negative angle of attack				
   2.00     Angle of attack for minimum CD (deg)				
   0.0116   Minimum CD value				
-180.00    0.000   0.0114   0.0000				
-170.00    0.703   0.0501   0.4000				
-160.00    0.544   0.1616   0.1962				
-150.00    0.538   0.3324   0.1966				
-140.00    0.534   0.5417   0.2211				
-130.00    0.498   0.7643   0.2530				
-120.00    0.419   0.9732   0.2845				
-110.00    0.302   1.1430   0.3094				
-100.00    0.157   1.2531   0.3232				
 -90.00    0.000   1.2900   0.3225				
 -80.00   -0.157   1.2531   0.3075				
 -70.00   -0.302   1.1430   0.2793				
 -60.00   -0.419   0.9732   0.2418				
 -50.00   -0.498   0.7643   0.1997				
 -40.00   -0.534   0.5417   0.1577				
 -30.00   -0.538   0.3324   0.1196				
 -20.00   -0.544   0.1616   0.0869				
 -10.00   -0.703   0.0501   0.0356				
  -4.00   -0.010   0.0185   0.0000				
  -3.00    0.080   0.0150   0.0000				
  -2.00    0.194   0.0169   0.0000				
  -1.00    0.344   0.0193   0.0000				
   0.00    0.502   0.0220   0.0000				
   1.00    0.612   0.0247   0.0000
   2.00    0.710   0.0258   0.0000
   3.00    0.798   0.0257   0.0000
   4.00    0.890   0.0253   0.0000
   5.00    0.966   0.0265   0.0000
   6.00    1.035   0.0284   0.0000
   7.00    1.108   0.0319   0.0000
   8.00    1.166   0.0363   0.0000
  10.00    1.004   0.0501  -0.0506
  20.00    0.777   0.1616  -0.1205
  30.00    0.769   0.3324  -0.1574
  40.00    0.763   0.5417  -0.1942
  50.00    0.711   0.7643  -0.2299
  60.00    0.599   0.9732  -0.2624
  70.00    0.432   1.1430  -0.2898
  80.00    0.225   1.2531  -0.3104
  90.00    0.000   1.2900  -0.3225
 100.00   -0.157   1.2531  -0.3232
 110.00   -0.302   1.1430  -0.3094
 120.00   -0.419   0.9732  -0.2845
 130.00   -0.498   0.7643  -0.2530
 140.00   -0.534   0.5417  -0.2211
 150.00   -0.538   0.3324  -0.1966

3.022        Table ID parameter (Reynolds number in millions).  
  11.00     Stall angle (deg)				
  -0.3689   Zero Cn angle of attack (deg)				
   6.9838   Cn slope for zero lift (dimensionless)				
   1.3857   Cn extrapolated to value at positive stall angle of attack				
  -0.8000   Cn at stall value for negative angle of attack				
   2.00     Angle of attack for minimum CD (deg)				
   0.0116   Minimum CD value				
-180.00    0.000   0.0100   0.0000				
-170.00    0.733   0.0359   0.4000				
-160.00    0.558   0.1480   0.1992				
-150.00    0.546   0.3198   0.1968				
-140.00    0.539   0.5306   0.2201				
-130.00    0.501   0.7550   0.2516				
-120.00    0.421   0.9660   0.2830				
-110.00    0.303   1.1380   0.3083				
-100.00    0.158   1.2506   0.3225				
 -90.00    0.000   1.2900   0.3225				
 -80.00   -0.158   1.2506   0.3069				
 -70.00   -0.303   1.1380   0.2783				
 -60.00   -0.421   0.9660   0.2405				
 -50.00   -0.501   0.7550   0.1985				
 -40.00   -0.539   0.5306   0.1570				
 -30.00   -0.546   0.3198   0.1198				
 -20.00   -0.558   0.1480   0.0882				
 -10.00   -0.733   0.0359   0.0370				
  -4.00    0.101   0.0108   0.0000				
  -3.00    0.201   0.0094   0.0000				
  -2.00    0.295   0.0078   0.0000				
  -1.00    0.402   0.0077   0.0000				
   0.00    0.511   0.0079   0.0000				
   1.00    0.617   0.0087   0.0000
   2.00    0.722   0.0097   0.0000
   3.00    0.823   0.0109   0.0000
   4.00    0.915   0.0123   0.0000
   5.00    1.004   0.0140   0.0000
   6.00    1.087   0.0162   0.0000
   7.00    1.161   0.0188   0.0000
   8.00    1.221   0.0219   0.0000
  10.00    1.047   0.0359  -0.0527
  20.00    0.797   0.1480  -0.1227
  30.00    0.781   0.3198  -0.1581
  40.00    0.770   0.5306  -0.1938
  50.00    0.715   0.7550  -0.2289
  60.00    0.601   0.9660  -0.2612
  70.00    0.433   1.1380  -0.2888
  80.00    0.225   1.2506  -0.3098
  90.00    0.000   1.2900  -0.3225
 100.00   -0.158   1.2506  -0.3225
 110.00   -0.303   1.1380  -0.3083
 120.00   -0.421   0.9660  -0.2830
