  
       XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  10.000   0.0000 NaN       NaN         0.0000   0.0437   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  20.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  19.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
   5.000 NaN      NaN       NaN       NaN        1.0000   1.0000
   5.000   1.0488   0.01965   0.00924  -0.1121   0.0659   0.1782
   9.000   1.4338   0.05511   0.04865  -0.1035   0.0510   1.0000
  10.000   1.4349   0.07061   0.06560  -0.0887   0.0609   1.0000
  11.000   1.3767   0.09633   0.09174  -0.0789   0.0548   1.0000
  13.000   1.1664   0.14779   0.14424  -0.0927   0.0546   1.0000
  14.000   1.1304   0.18270   0.17920  -0.1179   0.0528   1.0000
  15.000   1.1376   0.20099   0.19747  -0.1281   0.0413   1.0000
  16.000   1.1383   0.22503   0.22147  -0.1329   0.0380   1.0000
  17.000   1.1482   0.24724   0.24368  -0.1423   0.0377   1.0000
  18.000   1.1567   0.26706   0.26351  -0.1546   0.0355   1.0000
  19.000   1.1669   0.28770   0.28432  -0.1626   0.0315   1.0000
  20.000   1.1754   0.30767   0.30433  -0.1681   0.0287   1.0000
  30.000   0.8930   0.36039   0.35804  -0.1517   0.0133   1.0000
